,Number of Parts,Number of Total Elements,Number of Versions,Number of Workspaces,Parts Missing Mass,application/step,application/stl,onshape-app/com.onshape.api-explorer,onshape-app/drawing,onshape-app/materials,onshape/assembly,onshape/billofmaterials,onshape/featurestudio,onshape/partstudio,newSketch,extrude,revolve,sweep,cPlane,loft,thicken,enclose,fillet,chamfer,draft,rib,shell,hole,linearPattern,circularPattern,curvePattern,mirror,booleanBodies,splitPart,transform,wrap,deleteBodies,modifyFillet,deleteFace,moveFace,replaceFace,offsetSurface,fill,extendSurface,helix,fitSpline,projectCurves,bridgingCurve,compositeCurve,mateConnector,importDerived,assignVariable,compositePart,sheetMetalStart,sheetMetalFlange,sheetMetalHem,sheetMetalTab,sheetMetalMakeJoint,sheetMetalCorner,sheetMetalBendRelief,sheetMetalJoint,sheetMetalEnd,importForeign,MATE_CONNECTOR,FASTENED,REVOLUTE,SLIDER,PLANAR,CYLINDRICAL,PIN_SLOT,BALL,PARALLEL,TANGENT,MATE_GROUP,GEAR,RACK_AND_PINION,SCREW,LINEAR_MATE,LINEAR_PATTERN,CIRCULAR_PATTERN,UNACCOUNTED_ASY_FEATURE,EXPLODED_VIEW,Number of Assembly Features,asm_unique_parts,asm_total_instances,asm_linked_parts,asm_sub_asms,surfaceText,application/x_b,onshape-app/de.cadenas.partcommunity,Number of Parts Features,BETWEEN_ENTITIES,image/jpeg,image/png,application/dwg,application/dwt,application/dxf,application/pdf,application/vnd.oasis.opendocument.spreadsheet,autolayout,hoseRouting,video/mp4,application/sldprt,application/x_t,application/iges,onshape-app/com.solidpartners.catalog,onshape-app/io.clara.visualizer,onshape-app/net.3dexchange.onshape,Unnamed: 109,application/octet-stream,text/plain,Unnamed: 112,Unnamed: 113,Beam,myFeature,bender,fixPCB,kicadImport,measureValue,onshape-app/com.onerender.app
d566b7bb91139adcdb48f0ce,215,215,1,1,193,0,0,0,0,0,35,0,0,141,98,58,10,2,10,0,0,0,7,5,0,0,0,2,0,9,0,4,10,1,40,0,13,0,0,0,1,0,0,0,1,0,0,0,0,52,41,0,0,0,0,0,0,0,0,0,0,0,140,5,95,44,13,9,5,0,5,0,2,1,7,0,0,0,0,0,0,1,187,507,369,3,75,,,,504,,,,,,,1,,,,,38,,,,,,,,,,,,,,,,,
be491e9d888ab81f610987f7,1710,149,1,1,429,29,0,0,4,0,16,1,0,81,391,349,1,0,2,0,0,0,106,88,0,0,3,43,0,2,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,35,8,197,6,1,8,2,0,0,0,0,8,0,0,0,0,0,0,0,0,230,567,295,303,36,,,3,1048,,,,,,,,,,,,1,,1,2,2,9,,,,,,,,,,,,
a6f221da86aa4e3e8d317737,212,215,1,1,192,0,0,0,0,0,16,0,0,140,93,57,8,1,10,0,0,0,6,5,0,0,0,2,0,9,0,4,10,1,40,0,13,0,0,0,1,0,0,0,0,0,0,0,0,52,41,0,0,0,0,0,0,0,0,0,0,0,140,2,62,8,5,2,2,0,0,0,0,0,3,0,0,0,0,0,0,1,85,299,263,2,35,,,,493,,,,,,,1,,,,,38,,,,,,20,,,,,,,,,,,
6f95e7a262ba39a9be3f8d83,3,7,7,1,3,0,0,0,0,0,4,0,0,2,30,34,0,1,3,0,1,0,12,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,59,48,52,4,,,,91,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
b801934ab863c5477d10572e,12,3,3,1,12,0,0,0,0,0,1,0,0,2,16,8,4,0,1,0,0,0,13,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,0,0,0,0,1,0,0,8,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,16,0,0,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78100be9e62248a4b8443cdb,11,2,2,1,7,0,0,0,0,0,0,0,0,1,37,12,6,3,7,7,0,2,13,0,0,2,1,0,1,4,0,1,3,6,0,0,0,0,3,1,2,1,2,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,122,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
16e6db3562f6d010706c7332,16,4,1,1,11,0,0,0,0,0,0,0,0,2,32,11,0,1,7,9,1,1,10,0,0,0,0,0,0,0,1,3,0,12,1,0,2,0,5,0,0,1,2,0,0,5,4,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,121,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
c1aa5bba6a0139ebb12ce0bd,144,7,2,1,130,0,0,0,0,0,1,0,0,6,199,134,7,0,42,30,3,0,64,17,1,0,7,0,0,0,0,10,47,23,17,0,8,0,1,11,1,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454b01cb254644efb4b3b5f9,86,3,1,1,86,0,0,0,0,0,0,0,0,1,29,3,0,0,9,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,65,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
79aabf820218461d02a0175e,55,18,6,1,39,0,1,0,0,0,14,0,0,2,21,36,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,3,0,5,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,88,0,4,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,109,204,271,14,19,,,,93,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
49f77ccfd26b48f7ba957f39,7,10,1,1,7,0,0,0,0,0,1,0,0,3,6,7,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,14,20,16,0,2,,,,28,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
573bc90f52ad4f6db224b182,98,36,4,3,98,0,0,0,0,0,2,0,0,5,136,87,27,8,39,0,0,0,34,14,7,0,11,0,3,9,0,15,35,0,0,0,6,0,0,15,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,48,3,9,3,6,0,0,0,0,3,0,0,0,0,0,0,0,0,78,90,72,0,12,,,,459,,7,3,,,,1,,,,,,,,,,,,,,,18,,,,,,,
43678ef564a43281c83e1aef,108,37,12,1,83,1,0,0,0,0,9,3,0,23,115,300,12,0,15,6,0,0,103,55,0,0,0,0,0,2,0,5,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,49,0,0,0,0,0,0,0,0,0,0,1,2,61,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,142,77,0,19,,,,706,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
aac9da364984cca6ac732b9d,176,50,5,2,172,1,0,0,1,0,36,0,0,12,56,46,4,0,16,0,0,0,2,0,0,0,0,0,6,2,0,8,4,0,12,0,2,2,0,12,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,8,0,24,10,8,20,0,0,0,0,0,22,0,0,0,0,0,0,0,0,84,465,393,3,190,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2af8ed0e61a34ebf69284c68,140,52,1,1,140,0,0,0,3,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,0,0,0,0,16,555,329,0,113,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc0faf1ba90d8e5078e24d1d,33,2,1,1,33,0,0,0,0,0,1,0,0,1,105,38,14,13,60,10,5,0,12,0,0,0,2,0,1,1,3,16,17,7,28,0,2,0,1,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,,,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ba56f91050516b57b6d8d8,81,84,1,1,81,0,0,0,0,0,3,0,0,81,185,245,10,0,5,6,0,0,4,0,0,0,56,0,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,8,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,146,61,151,0,1,,,,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9558507b2d8feaea012281be,16,14,7,1,13,0,0,0,3,0,3,2,1,4,51,19,8,3,17,0,0,0,16,1,0,0,0,1,0,6,0,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,5,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,24,30,66,5,2,,,,153,,,,1,,,,,,,,,,,,,,,,,,,17,2,,,,,
a1e9eb1e0f97399ca82f90a7,18,5,5,1,1,0,0,0,1,0,2,1,0,1,51,34,0,14,13,0,0,0,25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,21,6,1,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c97dc9a56d1571f997e25b62,362,117,18,2,358,2,0,0,12,0,34,2,0,65,530,436,48,18,84,8,8,0,92,26,4,0,28,28,8,10,0,60,26,50,66,0,24,2,0,62,0,0,0,0,2,0,0,0,0,112,20,188,0,14,36,0,2,0,0,0,4,4,42,18,176,10,0,0,0,0,0,0,0,48,0,0,0,0,0,2,0,0,254,734,488,128,92,,,,2092,,,,,,1,,,,,,,,,,,,,,,,,,32,8,2,4,4,1
adc1f62b5aafaebbd9d07aba,237,42,1,1,219,5,0,0,5,0,13,4,0,10,14,29,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,1235,643,0,15,,,,54,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
e22e4c7439c05f684ce517c6,414,49,1,1,182,0,0,0,2,0,20,0,0,24,267,117,10,21,137,121,0,11,58,5,1,0,0,0,0,1,0,31,33,77,28,0,35,1,11,14,8,4,19,16,0,179,18,24,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,205,106,0,27,,,,1319,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
