,Number of Parts,Number of Total Elements,Number of Versions,Number of Workspaces,Parts Missing Mass,application/step,application/stl,onshape-app/com.onshape.api-explorer,onshape-app/drawing,onshape-app/materials,onshape/assembly,onshape/billofmaterials,onshape/featurestudio,onshape/partstudio,newSketch,extrude,revolve,sweep,cPlane,loft,thicken,enclose,fillet,chamfer,draft,rib,shell,hole,linearPattern,circularPattern,curvePattern,mirror,booleanBodies,splitPart,transform,wrap,deleteBodies,modifyFillet,deleteFace,moveFace,replaceFace,offsetSurface,fill,extendSurface,helix,fitSpline,projectCurves,bridgingCurve,compositeCurve,mateConnector,importDerived,assignVariable,compositePart,sheetMetalStart,sheetMetalFlange,sheetMetalHem,sheetMetalTab,sheetMetalMakeJoint,sheetMetalCorner,sheetMetalBendRelief,sheetMetalJoint,sheetMetalEnd,importForeign,MATE_CONNECTOR,FASTENED,REVOLUTE,SLIDER,PLANAR,CYLINDRICAL,PIN_SLOT,BALL,PARALLEL,TANGENT,MATE_GROUP,GEAR,RACK_AND_PINION,SCREW,LINEAR_MATE,LINEAR_PATTERN,CIRCULAR_PATTERN,UNACCOUNTED_ASY_FEATURE,EXPLODED_VIEW,Number of Assembly Features,asm_unique_parts,asm_total_instances,asm_linked_parts,asm_sub_asms,surfaceText,application/x_b,onshape-app/de.cadenas.partcommunity,Number of Parts Features,BETWEEN_ENTITIES,image/jpeg,image/png,application/dwg,application/dwt,application/dxf,application/pdf,application/vnd.oasis.opendocument.spreadsheet,autolayout,hoseRouting,video/mp4,application/sldprt,application/x_t,application/iges,onshape-app/com.solidpartners.catalog,onshape-app/io.clara.visualizer,onshape-app/net.3dexchange.onshape,Unnamed: 109,application/octet-stream,text/plain,Unnamed: 112,Unnamed: 113,Beam,myFeature,bender,fixPCB,kicadImport,measureValue,onshape-app/com.onerender.app,Unnamed: 89,laserJoint,onshape-app/com.materialise.i,SpurGear,application/sldasm,application/zip,Unnamed: 101,text/html,Unnamed: 105,Unnamed: 106,profile,text/csv,onshape-app/com.openbom.integrated.onshape.stage,application/acis,Unnamed: 114,application/prt,onshape-app/design.intact,application/ipt,image/gif,onshape-app/Onshape-Demo/bom,profileGen,application/catpart,slot,WingProfile,xyzCSV,onshape-app/space.grid.slicer,onshape-app/ZMECSOFTXVSHAPECAMTD5SHCJORRKEY7M5DUDVY=,Unnamed: 119,portFeature,threadCreator
58235f06ec5f9e10edc676dc,16.0,10.0,2.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,114.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,35.0,17.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,54.0,212.0,47.0,2.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5cae5cbc3fdc9a4fc804ae43,1247.0,92.0,91.0,1.0,169.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,16.0,1018.0,855.0,127.0,12.0,383.0,32.0,262.0,11.0,390.0,191.0,79.0,0.0,74.0,0.0,6.0,147.0,16.0,257.0,587.0,320.0,239.0,8.0,201.0,9.0,161.0,346.0,532.0,5.0,33.0,0.0,0.0,18.0,7.0,0.0,4.0,147.0,39.0,5.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,76.0,38.0,12.0,0.0,12.0,1.0,8.0,0.0,0.0,65.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,256.0,2883.0,736.0,0.0,151.0,0.0,0.0,0.0,6539.0,14.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8bf644a3219f4fde6ebff7f0,214.0,16.0,1.0,1.0,214.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,8.0,128.0,79.0,1.0,2.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,560.0,208.0,0.0,2.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57e3f5c529d2af11276b1529,136.0,110.0,4.0,1.0,131.0,0.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,77.0,287.0,255.0,53.0,23.0,45.0,6.0,0.0,0.0,10.0,42.0,1.0,0.0,5.0,0.0,0.0,20.0,0.0,1.0,39.0,2.0,109.0,0.0,3.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,38.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,233.0,280.0,0.0,41.0,0.0,0.0,0.0,948.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17ec646d6f096340dfb2d2d8,24.0,18.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,114.0,121.0,1.0,7.0,27.0,44.0,0.0,0.0,57.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,15.0,2.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c906a6bdcf50136ee9dbb9e1,7996.0,713.0,129.0,2.0,3000.0,17.0,0.0,0.0,145.0,0.0,91.0,35.0,0.0,363.0,1736.0,1164.0,60.0,81.0,232.0,5.0,2.0,2.0,227.0,181.0,0.0,0.0,0.0,457.0,22.0,49.0,0.0,47.0,74.0,65.0,472.0,0.0,180.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,148.0,82.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,339.0,30.0,792.0,18.0,75.0,15.0,10.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1159.0,6455.0,5339.0,282.0,176.0,0.0,0.0,0.0,5832.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,1.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fcf961725414128468eeaacc,19.0,2.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,9.0,0.0,2.0,6.0,1.0,1.0,0.0,6.0,7.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1cc23b444079dee199ef2bf,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,6.0,14.0,17.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,50.0,76.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c0d79303396481a1e659191,206.0,24.0,2.0,1.0,324.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,10.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,36.0,20.0,40.0,0.0,4.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0aa06fa9e7e4141ed09bb161,74.0,79.0,1.0,1.0,74.0,24.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,34.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,97.0,25.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,282.0,126.0,147.0,48.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
